nct_id,title,phase,status,why_stopped,start_date,completion_date,sponsor
NCT02243397,Molecular and Cellular Analysis of Breast Cancer,,SUSPENDED,Safety,2014-09-30,2025-09-30,Stanford University
NCT03976544,Natural Cycle Versus Hormone Replacement Therapy Cycle for a Frozen-thawed Embryo Transfer in PGT Patients,PHASE4,TERMINATED,safety,2019-05-25,2025-01-01,CRG UZ Brussel
NCT05930951,Study of OBT076 Associated or Not in Patients With Recurrent or Metastatic Adenoid Cystic Carcinoma of the Head and Neck,PHASE1,TERMINATED,toxicity,2023-11-29,2024-10-09,Groupe Oncologie Radiotherapie Tete et Cou
NCT05930938,Study Comparing RT With Cetuximab + Xevinapant to RT With Cetuximab-placebo in Patients With Head and Neck Cancer,PHASE3,TERMINATED,toxicity,2023-12-12,2024-09-30,Groupe Oncologie Radiotherapie Tete et Cou
NCT02623439,A Study of Haploidentical Bone Marrow Transplant for Patients With Hematologic Malignancies,PHASE2,TERMINATED,Toxicity,2012-09-21,2023-01-01,"University of California, San Diego"
NCT02816437,FMT for MDRO Colonization in Solid Organ Transplant,PHASE1,WITHDRAWN,safety,2016-07-31,2022-12-31,University of Miami
NCT04142658,PROACT Xa - A Trial to Determine if Participants With an On-X Aortic Valve Can be Maintained Safely on Apixaban,PHASE3,TERMINATED,Safety,2020-05-01,2022-12-12,Artivion Inc.
NCT04775797,"Safety, Tolerability, and Pharmacokinetics of AB-836 in Healthy Subjects and Subjects With Chronic HBV Infection",PHASE1,TERMINATED,Safety,2021-06-25,2022-11-17,Arbutus Biopharma Corporation
NCT04044378,Famitinib Plus Camrelizumab & Famitinib Alone & Famitinib Plus Ifosfamide in Advanced Osteosarcoma,PHASE1/PHASE2,WITHDRAWN,toxicity,2019-08-15,2022-09-30,Peking University People's Hospital
NCT05259514,CytoSorb SAH Trial,NA,TERMINATED,safety,2022-01-31,2022-06-16,Emanuela Keller
NCT03818776,Proton Based Cardiac Sparing Accelerated Fractionated RadioTherapy in Unresectable NSCLC,EARLY_PHASE1,TERMINATED,Safety,2019-08-30,2022-01-27,Case Comprehensive Cancer Center
